Episode 151/1000 | Score: 200 | Reward: -78.40 | Epsilon: 0.47
Episode 152/1000 | Score: 200 | Reward: -120.10 | Epsilon: 0.47
Episode 153/1000 | Score: 200 | Reward: -100.66 | Epsilon: 0.47
Episode 154/1000 | Score: 200 | Reward: -89.94 | Epsilon: 0.46
Episode 155/1000 | Score: 200 | Reward: -107.94 | Epsilon: 0.46
Episode 156/1000 | Score: 200 | Reward: -150.70 | Epsilon: 0.46
Episode 157/1000 | Score: 200 | Reward: -125.75 | Epsilon: 0.46
Episode 158/1000 | Score: 200 | Reward: -144.43 | Epsilon: 0.46
Episode 159/1000 | Score: 200 | Reward: -95.45 | Epsilon: 0.45
Episode 160/1000 | Score: 200 | Reward: -108.12 | Epsilon: 0.45
Episode 161/1000 | Score: 200 | Reward: -130.63 | Epsilon: 0.45
Episode 162/1000 | Score: 200 | Reward: -142.02 | Epsilon: 0.45
Episode 163/1000 | Score: 200 | Reward: -104.18 | Epsilon: 0.44
Episode 164/1000 | Score: 200 | Reward: -120.39 | Epsilon: 0.44
Episode 165/1000 | Score: 200 | Reward: -121.53 | Epsilon: 0.44
Episode 166/1000 | Score: 200 | Reward: -120.49 | Epsilon: 0.44
Episode 167/1000 | Score: 200 | Reward: -138.31 | Epsilon: 0.44
Episode 168/1000 | Score: 200 | Reward: -114.00 | Epsilon: 0.43
Episode 169/1000 | Score: 200 | Reward: -88.17 | Epsilon: 0.43
Episode 170/1000 | Score: 200 | Reward: -122.24 | Epsilon: 0.43
Episode 171/1000 | Score: 200 | Reward: -141.05 | Epsilon: 0.43
Episode 172/1000 | Score: 200 | Reward: -130.47 | Epsilon: 0.42
Episode 173/1000 | Score: 200 | Reward: -93.28 | Epsilon: 0.42
Episode 174/1000 | Score: 200 | Reward: -152.48 | Epsilon: 0.42
Episode 175/1000 | Score: 200 | Reward: -139.23 | Epsilon: 0.42
Episode 176/1000 | Score: 200 | Reward: -137.48 | Epsilon: 0.42
Episode 177/1000 | Score: 200 | Reward: -75.45 | Epsilon: 0.41
Episode 178/1000 | Score: 200 | Reward: -114.80 | Epsilon: 0.41
Episode 179/1000 | Score: 200 | Reward: -117.42 | Epsilon: 0.41
Episode 180/1000 | Score: 200 | Reward: -168.58 | Epsilon: 0.41
Episode 181/1000 | Score: 200 | Reward: -106.19 | Epsilon: 0.41
Episode 182/1000 | Score: 200 | Reward: -132.08 | Epsilon: 0.40
Episode 183/1000 | Score: 200 | Reward: -122.91 | Epsilon: 0.40
Episode 184/1000 | Score: 200 | Reward: -127.05 | Epsilon: 0.40
Episode 185/1000 | Score: 200 | Reward: -118.57 | Epsilon: 0.40
Episode 186/1000 | Score: 200 | Reward: -137.39 | Epsilon: 0.40
Episode 187/1000 | Score: 200 | Reward: -104.49 | Epsilon: 0.39
Episode 188/1000 | Score: 200 | Reward: -140.32 | Epsilon: 0.39
Episode 189/1000 | Score: 200 | Reward: -103.84 | Epsilon: 0.39
Episode 190/1000 | Score: 200 | Reward: -88.83 | Epsilon: 0.39
Episode 191/1000 | Score: 200 | Reward: -169.20 | Epsilon: 0.39
Episode 192/1000 | Score: 200 | Reward: -104.96 | Epsilon: 0.38
Episode 193/1000 | Score: 200 | Reward: -89.98 | Epsilon: 0.38
Episode 194/1000 | Score: 200 | Reward: -94.05 | Epsilon: 0.38
Episode 195/1000 | Score: 200 | Reward: -106.14 | Epsilon: 0.38
Episode 196/1000 | Score: 200 | Reward: -90.59 | Epsilon: 0.38
Episode 197/1000 | Score: 200 | Reward: -110.86 | Epsilon: 0.37
Episode 198/1000 | Score: 200 | Reward: -88.06 | Epsilon: 0.37
Episode 199/1000 | Score: 200 | Reward: -85.84 | Epsilon: 0.37
Episode 200/1000 | Score: 200 | Reward: -108.35 | Epsilon: 0.37
Episode 201/1000 | Score: 200 | Reward: -90.38 | Epsilon: 0.37
Episode 202/1000 | Score: 200 | Reward: -168.77 | Epsilon: 0.37
Episode 203/1000 | Score: 200 | Reward: -169.17 | Epsilon: 0.36
Episode 204/1000 | Score: 200 | Reward: -149.91 | Epsilon: 0.36
Episode 205/1000 | Score: 200 | Reward: -126.62 | Epsilon: 0.36
Episode 206/1000 | Score: 200 | Reward: -161.78 | Epsilon: 0.36
Episode 207/1000 | Score: 200 | Reward: -129.53 | Epsilon: 0.36
Episode 208/1000 | Score: 200 | Reward: -137.01 | Epsilon: 0.35
Episode 209/1000 | Score: 200 | Reward: -122.97 | Epsilon: 0.35
Episode 210/1000 | Score: 200 | Reward: -118.78 | Epsilon: 0.35
Episode 211/1000 | Score: 200 | Reward: -105.86 | Epsilon: 0.35
Episode 212/1000 | Score: 200 | Reward: -133.52 | Epsilon: 0.35
Episode 213/1000 | Score: 200 | Reward: -154.79 | Epsilon: 0.35
Episode 214/1000 | Score: 200 | Reward: -164.52 | Epsilon: 0.34
Episode 215/1000 | Score: 200 | Reward: -162.91 | Epsilon: 0.34
Episode 216/1000 | Score: 200 | Reward: -110.72 | Epsilon: 0.34
Episode 217/1000 | Score: 200 | Reward: -129.13 | Epsilon: 0.34
Episode 218/1000 | Score: 200 | Reward: -138.66 | Epsilon: 0.34
Episode 219/1000 | Score: 200 | Reward: -138.39 | Epsilon: 0.34
Episode 220/1000 | Score: 200 | Reward: -149.14 | Epsilon: 0.33
Episode 221/1000 | Score: 200 | Reward: -123.10 | Epsilon: 0.33
Episode 222/1000 | Score: 200 | Reward: -134.24 | Epsilon: 0.33
Episode 223/1000 | Score: 200 | Reward: -129.08 | Epsilon: 0.33
Episode 224/1000 | Score: 200 | Reward: -127.92 | Epsilon: 0.33
Episode 225/1000 | Score: 200 | Reward: -132.02 | Epsilon: 0.33
Episode 226/1000 | Score: 200 | Reward: -133.13 | Epsilon: 0.32
Episode 227/1000 | Score: 200 | Reward: -117.88 | Epsilon: 0.32
Episode 228/1000 | Score: 200 | Reward: -152.78 | Epsilon: 0.32
Episode 229/1000 | Score: 200 | Reward: -106.23 | Epsilon: 0.32
Episode 230/1000 | Score: 200 | Reward: -32.53 | Epsilon: 0.32
Episode 231/1000 | Score: 200 | Reward: -99.76 | Epsilon: 0.32
Episode 232/1000 | Score: 200 | Reward: -140.93 | Epsilon: 0.31
Episode 233/1000 | Score: 200 | Reward: -106.10 | Epsilon: 0.31
Episode 234/1000 | Score: 200 | Reward: -125.06 | Epsilon: 0.31
Episode 235/1000 | Score: 200 | Reward: -142.45 | Epsilon: 0.31
Episode 236/1000 | Score: 200 | Reward: -118.85 | Epsilon: 0.31
Episode 237/1000 | Score: 200 | Reward: -125.52 | Epsilon: 0.31
Episode 238/1000 | Score: 200 | Reward: -138.65 | Epsilon: 0.30
Episode 239/1000 | Score: 200 | Reward: -126.75 | Epsilon: 0.30
Episode 240/1000 | Score: 200 | Reward: -149.43 | Epsilon: 0.30
Episode 241/1000 | Score: 200 | Reward: -149.90 | Epsilon: 0.30
Episode 242/1000 | Score: 200 | Reward: -129.23 | Epsilon: 0.30
Episode 243/1000 | Score: 200 | Reward: -133.24 | Epsilon: 0.30
Episode 244/1000 | Score: 200 | Reward: -125.89 | Epsilon: 0.30
Episode 245/1000 | Score: 200 | Reward: -99.49 | Epsilon: 0.29
Episode 246/1000 | Score: 200 | Reward: -159.41 | Epsilon: 0.29
Episode 247/1000 | Score: 200 | Reward: -113.56 | Epsilon: 0.29
Episode 248/1000 | Score: 200 | Reward: -134.13 | Epsilon: 0.29
Episode 249/1000 | Score: 200 | Reward: -138.00 | Epsilon: 0.29
Episode 250/1000 | Score: 200 | Reward: -135.54 | Epsilon: 0.29
Episode 251/1000 | Score: 200 | Reward: -121.96 | Epsilon: 0.29
Episode 252/1000 | Score: 200 | Reward: -149.93 | Epsilon: 0.28
Episode 253/1000 | Score: 200 | Reward: -147.92 | Epsilon: 0.28
Episode 254/1000 | Score: 200 | Reward: -119.11 | Epsilon: 0.28
Episode 255/1000 | Score: 200 | Reward: -120.02 | Epsilon: 0.28
Episode 256/1000 | Score: 200 | Reward: -125.48 | Epsilon: 0.28
Episode 257/1000 | Score: 200 | Reward: -144.04 | Epsilon: 0.28
Episode 258/1000 | Score: 200 | Reward: -123.53 | Epsilon: 0.28
Episode 259/1000 | Score: 200 | Reward: -169.78 | Epsilon: 0.27
Episode 260/1000 | Score: 200 | Reward: -73.36 | Epsilon: 0.27
Episode 261/1000 | Score: 200 | Reward: -136.85 | Epsilon: 0.27
Episode 262/1000 | Score: 200 | Reward: -163.22 | Epsilon: 0.27
Episode 263/1000 | Score: 200 | Reward: -160.60 | Epsilon: 0.27
Episode 264/1000 | Score: 200 | Reward: -120.35 | Epsilon: 0.27
Episode 265/1000 | Score: 200 | Reward: -96.18 | Epsilon: 0.27
Episode 266/1000 | Score: 200 | Reward: -96.90 | Epsilon: 0.26
Episode 267/1000 | Score: 200 | Reward: -125.57 | Epsilon: 0.26
Episode 268/1000 | Score: 200 | Reward: -116.01 | Epsilon: 0.26
Episode 269/1000 | Score: 200 | Reward: -111.59 | Epsilon: 0.26
Episode 270/1000 | Score: 200 | Reward: -124.61 | Epsilon: 0.26
Episode 271/1000 | Score: 200 | Reward: -86.51 | Epsilon: 0.26
Episode 272/1000 | Score: 200 | Reward: -116.04 | Epsilon: 0.26
